Land ID,Location,Size (Acres),Base Price (INR),Current Bid (INR),Bidder ID,Bid Timestamp,Status
LAND00001,Salem,3.4,373877,454082,BID884,2025-02-07 08:08:06,Sold
LAND00002,Madurai,1.32,228565,303214,BID838,2025-04-05 06:08:06,Sold
LAND00003,Chennai,5.11,367359,416910,BID544,2025-02-15 16:08:06,Closed
LAND00004,Madurai,7.15,327373,406280,BID360,2025-03-01 12:08:06,Sold
LAND00005,Madurai,9.32,333312,412599,BID273,2025-03-01 09:08:06,Sold
LAND00006,Madurai,9.58,349798,444526,BID268,2025-03-05 02:08:06,Closed
LAND00007,Salem,4.05,429445,513438,BID835,2025-03-16 00:08:06,Open
LAND00008,Trichy,4.63,333033,400147,BID488,2025-03-12 13:08:06,Open
LAND00009,Coimbatore,2.72,163860,244981,BID698,2025-03-07 13:08:06,Closed
LAND00010,Salem,5.63,368835,432888,BID183,2025-03-08 00:08:06,Closed
LAND00011,Coimbatore,8.66,256961,289014,BID353,2025-03-17 08:08:06,Open
LAND00012,Chennai,5.59,486387,517022,BID712,2025-03-03 06:08:06,Sold
LAND00013,Salem,6.23,164240,213668,BID625,2025-03-15 05:08:06,Closed
LAND00014,Coimbatore,4.79,435040,526214,BID545,2025-02-20 17:08:06,Sold
LAND00015,Madurai,6.78,123415,162686,BID685,2025-02-15 12:08:06,Sold
LAND00016,Salem,4.2,435181,489651,BID489,2025-03-08 22:08:06,Sold
LAND00017,Madurai,5.42,423137,477037,BID533,2025-02-26 03:08:06,Open
LAND00018,Trichy,2.29,227178,314628,BID765,2025-03-03 09:08:06,Closed
LAND00019,Coimbatore,9.07,365981,428614,BID597,2025-02-19 02:08:06,Closed
LAND00020,Salem,9.19,476189,490437,BID994,2025-03-08 21:08:06,Open
LAND00021,Coimbatore,8.3,248922,348826,BID843,2025-03-13 16:08:06,Sold
LAND00022,Coimbatore,1.15,194695,293486,BID232,2025-04-05 03:08:06,Sold
LAND00023,Chennai,1.37,409379,442899,BID261,2025-02-10 11:08:06,Open
LAND00024,Trichy,5.83,289863,336323,BID838,2025-03-16 21:08:06,Sold
LAND00025,Salem,5.79,142515,183788,BID195,2025-02-06 12:08:06,Open
LAND00026,Madurai,6.89,245923,257826,BID474,2025-04-06 09:08:06,Open
LAND00027,Coimbatore,9.48,272456,335844,BID854,2025-03-02 11:08:06,Sold
LAND00028,Chennai,5.79,247434,317085,BID208,2025-02-08 14:08:06,Sold
LAND00029,Coimbatore,4.09,490934,533232,BID303,2025-03-07 04:08:06,Closed
LAND00030,Salem,5.53,442380,488023,BID281,2025-03-01 01:08:06,Sold
LAND00031,Salem,6.03,480576,575615,BID453,2025-02-20 05:08:06,Open
LAND00032,Trichy,9.9,235067,308359,BID574,2025-02-28 11:08:06,Closed
LAND00033,Madurai,1.84,367447,430856,BID499,2025-04-02 11:08:06,Sold
LAND00034,Coimbatore,6.14,274860,365692,BID948,2025-03-30 02:08:06,Sold
LAND00035,Salem,3.31,425368,445094,BID330,2025-03-29 10:08:06,Open
LAND00036,Madurai,7.77,115947,164728,BID328,2025-04-03 22:08:06,Open
LAND00037,Madurai,6.91,203551,227495,BID221,2025-03-28 04:08:06,Open
LAND00038,Chennai,9.2,187988,237859,BID300,2025-02-24 00:08:06,Sold
LAND00039,Trichy,6.2,342993,394227,BID339,2025-02-09 23:08:06,Closed
LAND00040,Trichy,7.65,153377,244154,BID850,2025-02-12 13:08:06,Sold
LAND00041,Chennai,1.53,408955,494405,BID318,2025-03-16 23:08:06,Closed
LAND00042,Coimbatore,7.71,183631,251751,BID981,2025-02-13 22:08:06,Sold
LAND00043,Madurai,5.61,309278,361783,BID620,2025-04-04 20:08:06,Open
LAND00044,Trichy,5.89,147512,164439,BID922,2025-03-09 10:08:06,Sold
LAND00045,Salem,6.94,193073,263373,BID936,2025-04-04 18:08:06,Open
LAND00046,Madurai,3.39,420688,511603,BID453,2025-03-04 00:08:06,Sold
LAND00047,Madurai,6.39,249922,261253,BID419,2025-02-13 20:08:06,Sold
LAND00048,Madurai,1.67,214561,257809,BID386,2025-02-27 11:08:06,Open
LAND00049,Salem,9.44,332957,425460,BID507,2025-02-07 01:08:06,Sold
LAND00050,Chennai,1.35,215406,231007,BID855,2025-03-05 01:08:06,Closed
LAND00051,Coimbatore,8.66,108294,168127,BID286,2025-03-27 07:08:06,Sold
LAND00052,Trichy,4.63,285108,353951,BID987,2025-02-17 13:08:06,Open
LAND00053,Salem,6.96,106974,148705,BID440,2025-03-12 05:08:06,Open
LAND00054,Coimbatore,1.95,412741,474907,BID831,2025-02-26 14:08:06,Open
LAND00055,Coimbatore,5.37,466052,512363,BID216,2025-03-31 17:08:06,Open
LAND00056,Coimbatore,5.06,218272,244906,BID351,2025-02-11 01:08:06,Closed
LAND00057,Coimbatore,4.49,195883,292589,BID565,2025-04-01 11:08:06,Sold
LAND00058,Madurai,3.77,247502,339821,BID575,2025-03-05 00:08:06,Sold
LAND00059,Madurai,7.85,334421,420534,BID485,2025-04-01 17:08:06,Sold
LAND00060,Salem,9.97,108338,156493,BID279,2025-03-29 18:08:06,Closed
LAND00061,Chennai,9.73,450786,537399,BID997,2025-04-03 11:08:06,Sold
LAND00062,Trichy,6.95,390052,464794,BID518,2025-03-18 19:08:06,Sold
LAND00063,Salem,5.56,139397,225824,BID985,2025-02-05 13:08:06,Sold
LAND00064,Salem,4.85,113881,200837,BID781,2025-02-18 22:08:06,Sold
LAND00065,Coimbatore,2.14,233303,246731,BID140,2025-02-17 14:08:06,Sold
LAND00066,Coimbatore,9.78,243674,342235,BID744,2025-04-01 13:08:06,Sold
LAND00067,Salem,3.91,190040,265807,BID773,2025-03-07 07:08:06,Sold
LAND00068,Chennai,3.91,276021,343456,BID826,2025-02-17 17:08:06,Sold
LAND00069,Chennai,4.29,214534,288869,BID172,2025-02-11 06:08:06,Open
LAND00070,Madurai,6.55,372512,390419,BID772,2025-04-05 17:08:06,Open
LAND00071,Salem,5.06,444318,457990,BID786,2025-03-27 18:08:06,Closed
LAND00072,Salem,3.36,409615,450102,BID763,2025-02-06 02:08:06,Open
LAND00073,Salem,8.44,357713,457478,BID375,2025-02-07 18:08:06,Sold
LAND00074,Madurai,7.98,331195,415387,BID116,2025-03-24 21:08:06,Closed
LAND00075,Salem,7.41,206055,280898,BID319,2025-03-12 10:08:06,Open
LAND00076,Trichy,4.3,303928,330478,BID958,2025-02-21 06:08:06,Open
LAND00077,Madurai,5.64,270059,337481,BID855,2025-02-22 15:08:06,Open
LAND00078,Chennai,2.47,310444,383622,BID417,2025-03-31 12:08:06,Closed
LAND00079,Salem,3.38,184786,276621,BID814,2025-03-20 09:08:06,Open
LAND00080,Chennai,4.01,386595,404653,BID710,2025-03-14 09:08:06,Open
LAND00081,Coimbatore,6.35,105924,119205,BID631,2025-03-19 13:08:06,Closed
LAND00082,Trichy,7.11,335937,395871,BID481,2025-03-14 23:08:06,Closed
LAND00083,Salem,8.62,299254,337768,BID243,2025-02-28 06:08:06,Open
LAND00084,Chennai,2.44,192954,220807,BID748,2025-03-17 00:08:06,Closed
LAND00085,Chennai,8.78,364367,459944,BID788,2025-02-22 20:08:06,Open
LAND00086,Trichy,8.85,305016,329685,BID706,2025-03-31 14:08:06,Open
LAND00087,Coimbatore,6.31,113113,193199,BID484,2025-03-03 14:08:06,Open
LAND00088,Chennai,2.14,396639,476156,BID943,2025-03-10 16:08:06,Open
LAND00089,Chennai,4.68,265036,350203,BID915,2025-03-26 06:08:06,Sold
LAND00090,Madurai,9.61,117112,185328,BID414,2025-03-06 02:08:06,Sold
LAND00091,Salem,4.43,143245,166676,BID390,2025-03-17 01:08:06,Closed
LAND00092,Chennai,1.38,163518,199176,BID999,2025-02-07 21:08:06,Open
LAND00093,Trichy,1.16,118617,192523,BID440,2025-03-23 14:08:06,Sold
LAND00094,Trichy,1.39,441911,503899,BID931,2025-02-14 16:08:06,Open
LAND00095,Chennai,7.16,343787,358406,BID269,2025-03-26 23:08:06,Closed
LAND00096,Salem,2.37,198168,210517,BID511,2025-02-19 09:08:06,Sold
LAND00097,Trichy,4.97,159065,187669,BID145,2025-03-26 04:08:06,Closed
LAND00098,Madurai,6.42,410855,487302,BID228,2025-03-24 01:08:06,Open
LAND00099,Coimbatore,6.86,459739,553768,BID215,2025-03-01 01:08:06,Sold
LAND00100,Madurai,1.12,405561,496748,BID472,2025-03-19 22:08:06,Open
LAND00101,Coimbatore,5.44,342194,368186,BID146,2025-03-16 02:08:06,Sold
LAND00102,Trichy,6.93,320021,341662,BID769,2025-02-12 19:08:06,Sold
LAND00103,Madurai,3.26,197877,237073,BID781,2025-03-29 16:08:06,Open
